Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Snohomish County, WA",53061,131,745913,17.6,16.9
,"Spokane County, WA",53063,66,479398,13.8,13.6
,"Thurston County, WA",53067,37,262388,14.1,12.8
,"Whatcom County, WA",53073,21,206353,10.2,11.1
,"Yakima County, WA",53077,15,247044,Unreliable,Unreliable
,"Berkeley County, WV",54003,44,108706,40.5,40.6
,"Boone County, WV",54005,19,24224,Unreliable,Unreliable
,"Cabell County, WV",54011,48,97133,49.4,53.3
,"Fayette County, WV",54019,24,45599,52.6,53.1
,"Hancock County, WV",54029,15,30291,Unreliable,Unreliable
,"Harrison County, WV",54033,19,68972,Unreliable,Unreliable
,"Jefferson County, WV",54037,16,55073,Unreliable,Unreliable
,"Kanawha County, WV",54039,64,191275,33.5,34
,"Logan County, WV",54045,22,35987,61.1,58.8
,"McDowell County, WV",54047,21,20876,100.6,109.2
,"Mercer County, WV",54055,24,61984,38.7,40.8
,"Mingo County, WV",54059,12,25900,Unreliable,Unreliable
,"Nicholas County, WV",54067,11,25965,Unreliable,Unreliable
,"Putnam County, WV",54079,12,56650,Unreliable,Unreliable
,"Raleigh County, WV",54081,37,78833,46.9,49.5
,"Wayne County, WV",54099,18,41437,Unreliable,Unreliable
,"Wood County, WV",54107,17,86569,Unreliable,Unreliable
,"Wyoming County, WV",54109,14,23019,Unreliable,Unreliable
,"Brown County, WI",55009,29,254586,11.4,11.2
,"Columbia County, WI",55021,14,56653,Unreliable,Unreliable
,"Dane County, WI",55025,88,509939,17.3,16.4
,"Dodge County, WI",55027,13,88344,Unreliable,Unreliable
,"Kenosha County, WI",55059,46,167757,27.4,26.1
,"La Crosse County, WI",55063,12,116713,Unreliable,Unreliable
,"Manitowoc County, WI",55071,11,80654,Unreliable,Unreliable
,"Milwaukee County, WI",55079,234,956023,24.5,24.7
,"Outagamie County, WI",55087,13,180345,Unreliable,Unreliable
,"Ozaukee County, WI",55089,11,87054,Unreliable,Unreliable
,"Racine County, WI",55101,37,195041,19,19.5
,"Rock County, WI",55105,32,160739,19.9,21.1
,"Sauk County, WI",55111,10,63162,Unreliable,Unreliable
